asset_id,data_domain,asset_name,status,source_location,sample_scope,tool_fields,processing,reproducibility
D24,D4教学实施,过程性材料模板(12份),设计数据(模板),03实践验证/02,12份模板,活动记录/观察/访谈/反思/作品,MD+PDF,高;模板态
D25,D4教学实施,教研复盘记录框架,设计数据,03实践验证/03,1份框架,复盘框架,MD+PDF,高;框架态
D26,D4量化数据,数据采集方案,设计数据(已实施部分),03实践验证/04,5类数据,作品/代码/观察/反思/前后测,MD+PDF,高;方案态
D27,D4量化数据,学生作品(60人×6件=360份),应存在(待提交),03实践验证/04,360份,FCStd/STL/PY,待提交,不可复核(未提交)
D28,D4量化数据,课堂观察记录,应存在(待填写),03实践验证/04,待填写,观察量表,待填写,不可复核(未填写)
D29,D4量化数据,师生反思日志,应存在(待撰写),03实践验证/04,每周1篇,反思日志,待撰写,不可复核(未撰写)
D30,D4量化数据,前后测数据,应存在(待采集),03实践验证/05,60人,前测/后测电子试卷,待采集,不可复核(未采集)
D31,D5技术方案,课程研究数据平台,实际呈现(已开发),03实践验证/05,1个平台,HTML+JS+CSS+60人数据,前端应用,高;已开发
D32,D5技术方案,FreeCAD专项测评工具,实际呈现(已开发),03实践验证/05,1套,前测卷/后测卷/量表/提纲/编号,MD+PDF,高;已开发
D33,D4教学实施,课题组成员学习笔记(11人×2篇),实际呈现,01基础研究/05,22篇,各成员理论学习笔记,MD+PDF,高
D34,D3研究逻辑,文献综述与理论目录,实际呈现,01基础研究/01,2份,文献综述/理论论文专著目录,MD+PDF,高
D35,D3研究逻辑,师生需求调研方案与框架,设计数据,01基础研究/02,2份,调研方案/报告框架,MD+PDF,高;框架态
D36,D3研究逻辑,硬件师资评估框架,设计数据,01基础研究/03,1份,资源评估报告框架,MD+PDF,高;框架态
D37,D3研究逻辑,课程目标体系,实际呈现,01基础研究/04,1份,课程目标,MD+PDF,高
D38,D6主张证据,研究目标量化指标,设计数据,总指南第二节,2项指标,创新思维提升20%、计算思维达标率≥85%,预期,高;预期态
D39,D6主张证据,阶段性成果清单,设计数据(部分完成),05研究成果/04,4阶段,基础/开发/实施/固化成果,MD+PDF,高;部分完成
D40,D6主张证据,中期研究报告,实际呈现(需更新),06基础材料/07,2份,正式稿+21课时修订版,DOCX,中;需更新
D41,D6主张证据,中期报告与开题论证书差异说明,实际呈现,06基础材料/07,1份,口径差异对照表,MD+PDF,高
D42,D7缺口,对照班设计与数据,应存在,04成果固化/01,计划,实验班vs对照班对比,计划;未实施,不可复核(未实施)
D43,D7缺口,课程评价指标体系,设计数据,04成果固化/02,1份框架,指标体系框架,MD+PDF,高;框架态
D44,D7缺口,校本教材,设计数据,04成果固化/03,1份框架,教材编写框架,MD+PDF,高;框架态
D45,D7缺口,推广方案,设计数据,04成果固化/04,1份框架,推广方案框架,MD+PDF,高;框架态
D46,D6主张证据,论文发表计划与现有成果,设计数据,05研究成果/03,2份,论文计划/成果核对总表,MD+PDF,高
