reference_label,entity_id,reference_text,authors,title,document_type,source_container,year,citation_count,thesis_pages,mapping_status,metadata_verification
11,E001,"郑贤. 基于STEAM的小学《3D打印》课程设计与教学实践研究[J].中国电化教育, 2016(8):82-86.",郑贤,基于STEAM的小学《3D打印》课程设计与教学实践研究,J,中国电化教育,2016,1,2,已匹配,仅据论文参考文献表，未回原始来源核验
12,E011,"金慧,刘迪,高玲慧,宋蕾.新媒体联盟《地平线报告》(2016高等教育版)解读与启示[J]. 远程教育杂志,2016,35(2):3-10.","金慧,刘迪,高玲慧,宋蕾",新媒体联盟《地平线报告》(2016高等教育版)解读与启示,J,远程教育杂志,2016,1,3,已匹配,仅据论文参考文献表，未回原始来源核验
13,E008,"杨高云. 小学“3D打印教育”课堂教学设计研究[D].上海师范大学, 2014.",杨高云,小学“3D打印教育”课堂教学设计研究,D,上海师范大学,2014,1,3,已匹配,仅据论文参考文献表，未回原始来源核验
14,E012,"张佳琦.3D 打印技术在地理教学中的应用研究[D].华东师范大学,2015.",张佳琦,3D 打印技术在地理教学中的应用研究,D,华东师范大学,2015,1,3,已匹配,仅据论文参考文献表，未回原始来源核验
15,E013,"张明洁.3D打印在高等教育教学中的应用研究[J].江苏科技信息,2015(22):68-69.",张明洁,3D打印在高等教育教学中的应用研究,J,江苏科技信息,2015,1,3,已匹配,仅据论文参考文献表，未回原始来源核验
16,E014,"于晓燕,张庆新.3D 打印在教学与促进学生就业中的探索与实践[J].胶体与聚合 物,2018,36(01):34-36.","于晓燕,张庆新",3D 打印在教学与促进学生就业中的探索与实践,J,胶体与聚合 物,2018,1,3,已匹配,仅据论文参考文献表，未回原始来源核验
17,E015,"韩荣雷,孙雪冬.创客时代3D打印在高校课程开发的应用研究[J].沈阳师范大学学报 (自然科学版),2016,34(01):113-116.","韩荣雷,孙雪冬",创客时代3D打印在高校课程开发的应用研究,J,沈阳师范大学学报 (自然科学版),2016,1,3,已匹配,仅据论文参考文献表，未回原始来源核验
18,E002,"孙江山,吴永和,任友群.3D打印教育创新:创客空间、创新实验室和STEAM[J].现代远 程教育研究,2015(04):96-103.","孙江山,吴永和,任友群",3D打印教育创新:创客空间、创新实验室和STEAM,J,现代远 程教育研究,2015,1,4,已匹配,仅据论文参考文献表，未回原始来源核验
19,E016,"高佳平,宋婷袅.3D 打印的 STEAM 教育应用构建与透视[J].软件导刊(教育技 术),2017,16(09):82-84.","高佳平,宋婷袅",3D 打印的 STEAM 教育应用构建与透视,J,软件导刊(教育技 术),2017,1,4,已匹配,仅据论文参考文献表，未回原始来源核验
20,E017,"Keane,Therese,W.F.Keane,andA.S.Blicblau.Beyondtraditionalliteracy:Learningand transformativepracticesusingICT.EducationandInformationTechnologies21.4(2016):769-781.","Keane,Therese,W","F.Keane,andA.S.Blicblau.Beyondtraditionalliteracy:Learningand transformativepracticesusingICT.EducationandInformationTechnologies21.4(2016):769-781.",,,2016,1,4,已匹配,仅据论文参考文献表，未回原始来源核验
21,E018,"新媒体联盟地平线报告(2015高等教育版)[J]. 北京广播电视大学学报, 2015(2).",新媒体联盟地平线报告(2015高等教育版),新媒体联盟地平线报告(2015高等教育版),J,北京广播电视大学学报,2015,1,4,已匹配,仅据论文参考文献表，未回原始来源核验
22,E019,"张志恒. 日计划启动3D打印机国家项目[J]. 粉末冶金工业, 2014(4):24-24.",张志恒,日计划启动3D打印机国家项目,J,粉末冶金工业,2014,1,5,已匹配,仅据论文参考文献表，未回原始来源核验
23,E020,"徐平. 3D打印在中小学课堂中的应用[J]. 世界教育信息, 2017(8):15-18.",徐平,3D打印在中小学课堂中的应用,J,世界教育信息,2017,1,5,已匹配,仅据论文参考文献表，未回原始来源核验
24,E002,"孙江山,吴永和,任友群.3D打印教育创新:创客空间、创新实验室和STEAM[J].现代远 程教育研究,2015(04):96-103.","孙江山,吴永和,任友群",3D打印教育创新:创客空间、创新实验室和STEAM,J,现代远 程教育研究,2015,1,5,已匹配,仅据论文参考文献表，未回原始来源核验
25,E021,"王旭卿.面向STEM教育的创客教育模式研究[J].中国电化教育,2015(08):36-41.",王旭卿,面向STEM教育的创客教育模式研究,J,中国电化教育,2015,1,9,已匹配,仅据论文参考文献表，未回原始来源核验
26,E022,"Yakman G, Lee H. Exploring the Exemplary STEAM Education in the U.S. as a Practical EducationalFrameworkforKorea[J].GEOLOGY-GEOCHEMISTRY,2012,32(6):14-16.","Yakman G, Lee H",Exploring the Exemplary STEAM Education in the U.S. as a Practical EducationalFrameworkforKorea,J,GEOLOGY-GEOCHEMISTRY,2012,0,,文后有条目，正文未检出,仅据论文参考文献表，未回原始来源核验
27,E023,"胡卫平,首新,陈勇刚.中小学STEAM教育体系的建构与实践[J].华东师范大学学报:教 育科学版,2017,35(4):31-39.","胡卫平,首新,陈勇刚",中小学STEAM教育体系的建构与实践,J,华东师范大学学报:教 育科学版,2017,1,10,已匹配,仅据论文参考文献表，未回原始来源核验
28,E024,"新 媒 体 联 盟 地 平 线 报 告 (2014 高 等 教 育 版 )[J]. 北 京 广 播 电 视 大 学 学 报,2014,(2):14-36.",新 媒 体 联 盟 地 平 线 报 告 (2014 高 等 教 育 版 ),新 媒 体 联 盟 地 平 线 报 告 (2014 高 等 教 育 版 ),J,北 京 广 播 电 视 大 学 学 报,2014,1,10,已匹配,仅据论文参考文献表，未回原始来源核验
29,E025,"杨丽.初中信息技术3D打印课程的探索与实践[J].中国教育信息化,2016(11):85-87.",杨丽,初中信息技术3D打印课程的探索与实践,J,中国教育信息化,2016,0,,文后有条目，正文未检出,仅据论文参考文献表，未回原始来源核验
30,E026,"王萍.3D打印及其教育应用初探[J].中国远程教育,2013(8):83-87.",王萍,3D打印及其教育应用初探,J,中国远程教育,2013,0,,文后有条目，正文未检出,仅据论文参考文献表，未回原始来源核验
31,E027,"关绮绫.校本课程·校本课程开发·行动研究[J].教书育人,2004(1):43-44.",关绮绫,校本课程·校本课程开发·行动研究,J,教书育人,2004,1,11,已匹配,仅据论文参考文献表，未回原始来源核验
32,E028,"郑金洲.走向“校本”[J].教育理论与实践,2000(6):11-14.",郑金洲,走向“校本”,J,教育理论与实践,2000,1,11,已匹配,仅据论文参考文献表，未回原始来源核验
33,E029,"SKILBECK. School-based Curriculum Development[M].London:WardLock Educational, 1976:161.",SKILBECK,School-based Curriculum Development,M,London:WardLock Educational,1976,1,11,已匹配,仅据论文参考文献表，未回原始来源核验
34,E030,何克抗，永柏，谢幼如.教学系统设计[M].北京：北京师范大学出版社，2002：154.,何克抗，永柏，谢幼如,教学系统设计,M,北京：北京师范大学出版社，2002：154.,2002,1,12,已匹配,仅据论文参考文献表，未回原始来源核验
35,E031,"赵纯祥.基于建构主义的财务案例教学研究[J].湖南财政经济学院学报,2009, 25(5):150-152.",赵纯祥,基于建构主义的财务案例教学研究,J,湖南财政经济学院学报,2009,1,12,已匹配,仅据论文参考文献表，未回原始来源核验
36,E032,"何克抗.教学设计理论与方法研究评论(二)[J].开放教育研究,1998(3):20-22.",何克抗,教学设计理论与方法研究评论(二),J,开放教育研究,1998,1,13,已匹配,仅据论文参考文献表，未回原始来源核验
37,E033,"查尔斯·M·瑞戈鲁斯, 杨非. 细化理论:学习内容选择和排序的指南[J]. 开放教育研 究,2004(2):23-26.","查尔斯·M·瑞戈鲁斯, 杨非",细化理论:学习内容选择和排序的指南,J,开放教育研 究,2004,1,13,已匹配,仅据论文参考文献表，未回原始来源核验
38,E034,"钟志贤.多元智能理论与教育技术[J].电化教育研究,2004(3):7-11.",钟志贤,多元智能理论与教育技术,J,电化教育研究,2004,1,14,已匹配,仅据论文参考文献表，未回原始来源核验
39,E035,"祝智庭,钟志贤.现代教育技术——促进多元智能发展[M].上海:华东师范大学出版 社,2003.","祝智庭,钟志贤",现代教育技术——促进多元智能发展,M,上海:华东师范大学出版 社,2003,1,14,已匹配,仅据论文参考文献表，未回原始来源核验
40,E036,"赵茜.基于STEM理念5E教学模式的活动设计——以低碳环保实践营走进汽车博物馆活 动为例[A].中国科普研究所.面向新时代的馆校结合·科学教育——第十届馆校结合科学教 育论坛论文集[C].中国科普研究所:中国科普研究所,2018:5.",赵茜,基于STEM理念5E教学模式的活动设计——以低碳环保实践营走进汽车博物馆活 动为例,A,中国科普研究所.面向新时代的馆校结合·科学教育——第十届馆校结合科学教 育论坛论文集[C].中国科普研究所:中国科普研究所,2018,1,14,已匹配,仅据论文参考文献表，未回原始来源核验
41,E037,"刘向永.普通高中信息技术课程标准(2017 年版)概览[J].中国信息技术教育, 2018(5).",刘向永,普通高中信息技术课程标准(2017 年版)概览,J,中国信息技术教育,2017,1,22,已匹配,仅据论文参考文献表，未回原始来源核验
42,E038,"义务教育小学科学课程标准[M].北京师范大学出版社,中华人民共和国教育部,2017.",义务教育小学科学课程标准,义务教育小学科学课程标准,M,"北京师范大学出版社,中华人民共和国教育部",2017,1,22,已匹配,仅据论文参考文献表，未回原始来源核验
43,E039,"仲娇娇. STEAM教学活动设计与应用研究[D].华东师范大学,2018.",仲娇娇,STEAM教学活动设计与应用研究,D,华东师范大学,2018,1,25,已匹配,仅据论文参考文献表，未回原始来源核验
44,E040,"赵呈领,赵文君,蒋志辉.面向 STEM 教育的 5E 探究式教学模式设计[J].现代教育技 术,2018,28(03):106-112.","赵呈领,赵文君,蒋志辉",面向 STEM 教育的 5E 探究式教学模式设计,J,现代教育技 术,2018,0,,文后有条目，正文未检出,仅据论文参考文献表，未回原始来源核验
45,E041,"陈霞.泰勒原理对新课程的启示[J].甘肃科技纵横,2009,38(04):178-179+120.",陈霞,泰勒原理对新课程的启示,J,甘肃科技纵横,2009,1,28,已匹配,仅据论文参考文献表，未回原始来源核验
46,E042,"江丰光,蔡瑞衡.国内外 STEM 教育评估设计的内容分析[J].中国电化教育, 2017(6):59-66.","江丰光,蔡瑞衡",国内外 STEM 教育评估设计的内容分析,J,中国电化教育,2017,1,41,已匹配,仅据论文参考文献表，未回原始来源核验
47,E043,"Hudson P, English L, Dawes L, et al.Exploring Links between Pedagogical Knowledge Practices and Student Outcomes in STEMEducation for Primary Schools[J].Australian Journal of TeacherEducation,2015,40(6):134-141.","Hudson P, English L, Dawes L, et al",Exploring Links between Pedagogical Knowledge Practices and Student Outcomes in STEMEducation for Primary Schools,J,Australian Journal of TeacherEducation,2015,0,,文后有条目，正文未检出,仅据论文参考文献表，未回原始来源核验
