reference_label,entity_id,pdf_page,thesis_page,section,citation_context,citation_mode,citation_purpose,mapping_confidence
12,E011,12,3,1.2 国内外研究现状,内外研究现状 1.2.1 国内研究现状 依据2014年版的《地平线报告》声明，3D打印将会在2至3年内作为一种 教育技术被采纳（NMC，2014），中国政府 2013 年国庆新闻联播报道，习近 平等中央政治局领导到中关村集体学习，其中将 3D 打印列在介绍参观创新成果 展示的首位[12]。,转述/概述,研究现状或文献观点,高
13,E008,12,3,1.2 国内外研究现状,例如上海师范大学杨高云对上海和田 路小学的调查结果显示，该学校开设的“虚拟创造”课程在高年级的教学中取得 了不错的效果[13]。,可能直接引语或带引号转述,研究现状或文献观点,高
14,E012,12,3,1.2 国内外研究现状,"在与其他课程结合方面,以在地理课程教学中的应用为 例，华东师范大学张佳琦充分利用 3D 打印技术制作城市以及城市化 3D 模型作 品，将地理课堂变为拓展性与设计性并具的新型课堂[14]。",转述/概述,研究现状或文献观点,高
15,E013,12,3,1.2 国内外研究现状,例如，兰州大学张明洁在《3D打印在高等教育教学中 的应用研究》中阐述到“3D 打印将有助于营造真实的学习环境，促进学习者探 究、协作学习，提高学生学习的积极性和创新性”[15]。,可能直接引语或带引号转述,研究现状或文献观点,高
16,E014,12,3,1.2 国内外研究现状,河北工业大学于晓燕认为 3D打印运用于高校教学中有助于学生就业[16]。,转述/概述,研究现状或文献观点,高
17,E015,12,3,1.2 国内外研究现状,沈阳师范大学韩荣雷认为3D打印 与高校3DMax进行课程融合，有助于学生多元智能培养[17]。,转述/概述,理论或教学模型依据,高
18,E002,13,4,1.2 国内外研究现状,例如，华东师范大学教育技术系孙江山的《3D打印教育创新:创客空间、创 新实验室和STEAM》认为“3D打印是蕴含“设计思维”的个性化创造工具，可 以塑造可重用的多态教育对象，打造虚实结合的教育应用服务创新平台，促进基 于创造的学习”[18]。,可能直接引语或带引号转述,研究现状或文献观点,高
19,E016,13,4,1.2 国内外研究现状,华东师范大学高佳平设计了基于三维设计与3D打印的STEAM 课程构建模式[19]。,转述/概述,研究现状或文献观点,高
20,E017,13,4,1.2 国内外研究现状,1.2.2 国外研究现状 根据普恩特杜拉（Puentedura，2006）等人的观点[20]，技术对课程的作用主 要包括替代、增强、修正、重构四个由低到高的层级，其中重构是指技术带来了 课程全方位的革新。,转述/概述,概念界定,高
21,E018,13,4,1.2 国内外研究现状,美国 2015年颁布的 《新 媒体联盟地平线报告———（2015基础教育版）》中提到，美国将大力开展 3D 打印课程[21]。,转述/概述,研究现状或文献观点,高
22,E019,14,5,1.3 研究意义和目的,日本政府在2014 年预算案中划拨了40亿日元，将由经济产业省组织实施 以 3D 成型技术为核心的制造革命计划[22]; 欧洲也十分重视对三维打印技术的 研发应用，并将其列为第三次工业革命的重要组成部分; 英国教育相关部门在 2012 年 10 月至 2013 年9 月期间，共建立了 21 所试点学校进行 3D 打印技 术试验项目[23]。,转述/概述,技术背景或应用依据,高
23,E020,14,5,1.3 研究意义和目的,日本政府在2014 年预算案中划拨了40亿日元，将由经济产业省组织实施 以 3D 成型技术为核心的制造革命计划[22]; 欧洲也十分重视对三维打印技术的 研发应用，并将其列为第三次工业革命的重要组成部分; 英国教育相关部门在 2012 年 10 月至 2013 年9 月期间，共建立了 21 所试点学校进行 3D 打印技 术试验项目[23]。,转述/概述,技术背景或应用依据,高
24,E002,14,5,1.3 研究意义和目的,在世界各国，除 了这些项目以外，还有 Fab@school 项目、X 城市项目等[24]。,转述/概述,背景论据或论述支持,高
25,E021,18,9,2.1 相关概念界定,cs）教育的简称，从 STEM 到 STEAM(增添艺术领域)，到 STEMx(增添更多项学科领域)，STEM 教育的内涵和外延越来越丰富，囊括了艺 术、体育、人文、计算机科学、调查研究、创造与革新、全球沟通协作等21 世 纪所需的知识与技能，发展为包容性更强的跨学科综合素养教育[25]。,转述/概述,技术背景或应用依据,高
27,E023,19,10,2.1 相关概念界定,等现代技术在教育中的创 新性运用，国很多中小学也开展了机器人、3D 打印、创客等一系列 STEAM 活 动，得了一定的效果，由于缺少政策支持、学科渗透、教学创新、教师发展、 整合活动、有效评价等方面的系统建构和有效实施，学生科学素养和 STEAM 整合性能力的发展都受到很大的限制[27]。,转述/概述,政策或课程标准依据,高
28,E024,19,10,2.1 相关概念界定,2.1.2 3D 打印 3D打印也叫“三维打印”，基于所创建的原型样品或者实体模型，用塑料、 树脂、粉末状金属或其他材料，通过逐层打印实现快速成型[28]。,可能直接引语或带引号转述,技术背景或应用依据,高
31,E027,20,11,2.1 相关概念界定,图2-2 3D打印流程图 2.1.3 校本课程 校本课程也叫＂学校本位课程＂，是为了克服国家课程因没有考虑到不同 地域、不同学生等因素产生的教学上的矛盾，推行的一种以学校教师为开发主 体、根据本校的教育资源和学生的实际情况而有针对性地设置的课程类型[31]。,转述/概述,技术背景或应用依据,高
32,E028,20,11,2.1 相关概念界定,华东师范大学教育学博士郑 金洲在《走向校本》中这样解释：校本为“以学校为本”、“以学校为基础”， 它包含三方面的含义：一是为了学校，二是在学校中，三是基于学校[32]。,可能直接引语或带引号转述,概念界定,高
33,E029,20,11,2.1 相关概念界定,本研究校本课程开发流程依据斯基尔贝克（Skilbeck）[33]的功能取向开发 流程，主要分为五个步骤：首先对本校学习情境进行分析，然后根据分析结果 制定课程目标，再者建构切实可行的课程方案，接着实施课程方案，最后对课 程方案实施过程进行及时追踪、反馈、评价和修改，如图2-3所示。,转述/概述,评价工具或方法依据,高
34,E030,21,12,2.2 理论基础,论基础 2.2.1 建构主义理论 建构主义理论是由瑞士心理学家根据儿童认知发展的，他认为应该以学生为 中心，不仅要求学生由外部刺激的被动接受者和知识的灌输对象转变为信息加工 的主体、知识意义的主动建构者;而且要求教师要由知识的传授者、灌输者转变 为学生主动建构意义的帮助者、促进者[34]。,转述/概述,理论或教学模型依据,高
35,E031,21,12,2.2 理论基础,构主义理论体系所遵循的 一般原则归纳为以下四项，适应原则、主动原则、社会性原则和发展原则[35]。,转述/概述,理论或教学模型依据,高
36,E032,22,13,2.2 理论基础,2.2.2 细化理论 瑞奇卢斯提出的细化理论综合和发展了奥苏泊尔的认知学习理论和诺曼“网 状学习”理论，要求教学设计需将概念按照“由一般到特殊”的顺序呈现，关注 学科内容的各个部分彼此关系，以及各个部分与整个学科之间的关系[36]。,可能直接引语或带引号转述,理论或教学模型依据,高
37,E033,22,13,2.2 理论基础,"细化理 论主要适用于认知和心智运动领域比较复杂的教学内容,其特色是采用整体化思 想进行概念、规则和任务的教学,每次的教学内容都是对同一内容的,只是细节和 复杂程度不同[37]。",转述/概述,概念界定,高
38,E034,23,14,2.2 理论基础,"2.2.3 多元智能理论 多元智能理论是由美国当代著名心理学家和教育学家加德纳(H.Gardner) 博士提出，认为人类思维和认识的方式是多元的,亦即存在多元智能:言语语言 智能、数理逻辑智能、视觉空间智能、音乐韵律智能、身体运动智能、人际沟 通智能、自我认识智能和自然观察智能[38]。",转述/概述,理论或教学模型依据,高
39,E035,23,14,2.2 理论基础,该理论内涵与我国教学现行的素质 教育有密切的联系，并被认为“多元智能是对素质教育的最好诠释”[39]。,可能直接引语或带引号转述,理论或教学模型依据,高
40,E036,23,14,2.2 理论基础,BSCS提出了基于建构主义理论和概 念转变理论的5E教学模式，包括 5个教学环节，参与（Engage）、探究（Explore）、 解释（Explain）、迁移（Elaborate）和评价（Evaluate）[40]。,转述/概述,评价工具或方法依据,高
41,E037,31,22,3.2 课程大纲,“能够在他人在帮助下使用通讯远 距离获取信息、与他人沟通，开展直接和独立的学习，发展个人的爱好和兴趣。” [41]。,可能直接引语或带引号转述,技术背景或应用依据,高
42,E038,31,22,3.2 课程大纲,“将自己简单的创意转化为模型或实物。根 据现实的需要设计简单器具生产物品或完成任务。”，以及”18.3 工程的设计 需要考虑可利用的条件和制约因素，并不断改进和完善。”[42]。,可能直接引语或带引号转述,背景论据或论述支持,高
43,E039,34,25,3.2 课程大纲,图3-3 基于STEAM的课程内容设计 3.2.4 课程目标设计 目前，我国学界普遍认为 STEAM 教育的核心目标是培养面向未来科技发 展所需的创新型人才，灵活应用多种新型的学习方式促进学生通过学科整合和 综合创新来认识世界和改造世界，以学科整合的方式促进学生灵活迁移多学科 知识来解决真实情境中的问题[43]，以培养学生综合利用 STEAM知识解决现实 问题的能力以及STEAM素养。,转述/概述,研究现状或文献观点,高
45,E041,37,28,3.2 课程大纲,泰勒提出的目标评价模式，以课程目标为中心展开课程评价，也叫做“泰 勒原理”[45]。,可能直接引语或带引号转述,评价工具或方法依据,高
46,E042,50,41,第4章 教学设计与实施,江丰光 教授[46]对2004年至2016年国内外关于STEM 评估方式的文献进行了整理，共 11种具体 STEM 评估方式，本研究采用常用的测验、作品集的评估方式作为 课程总结性评价。,转述/概述,评价工具或方法依据,高
