reference_label,entity_id,reference_text,authors,title,document_type,source_container,year,citation_count,thesis_pages,mapping_status,metadata_verification
30,E030,"王娟,吴永和.“互联网+”时代 STEAM 教育应用的反思与创新路径[J].远程教育杂 志,2016,(2):90-97.","王娟,吴永和",“互联网+”时代 STEAM 教育应用的反思与创新路径,J,,2016,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
31,E031,"李小涛,高海燕,邹佳人,等.“互联网+”背景下的 STEAM 教育到创客教育之变迁——从 基于项目的学习到 创新能力的培养[J].远程教育杂志,2016,(1):28-36.","李小涛,高海燕,邹佳人,等",“互联网+”背景下的 STEAM 教育到创客教育之变迁——从 基于项目的学习到 创新能力的培养,J,,2016,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
32,E032,"赵慧臣,周昱希,李彦奇,等.跨学科视野下“工匠型”创新人才的培养策略——基于美国 STEAM 教育活动设计的启示[J].远程教育杂志,2017,(1):94-101.","赵慧臣,周昱希,李彦奇,等",跨学科视野下“工匠型”创新人才的培养策略——基于美国 STEAM 教育活动设计的启示,J,,2017,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
33,E033,秦瑾若，傅钢善.STEM 教育:基于真实问题情景的跨学科式教育[J].中国电化教育， 2017(04):67-74.,秦瑾若，傅钢善,STEM 教育:基于真实问题情景的跨学科式教育,J,,2017,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
34,E034,"乌美娜.教学设计.北京：高等教育出版社,1994:11.",,,,,1994,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
35,E035,"张奠宙,宋乃庆.数学教育概论.北京:北京高等教育出版社,2004:12.",,,,,2004,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
36,E036,"何小亚,姚静.中数学数学教学设计.北京:科学出版社,2009:8-10.",,,,,2009,0,,未检出,"仅据论文参考文献表,未回原始来源核验"
37,E037,"仲娇娇. STEAM教学活动设计与应用研究[D].华东师范大学,2018.",仲娇娇,STEAM教学活动设计与应用研究,D,,2018,3,,已匹配,"仅据论文参考文献表,未回原始来源核验"
38,E038,"王坚. STEAM 教育理念下的物理教学初探[D].华中师范大学,2017.",王坚,STEAM 教育理念下的物理教学初探,D,,2017,6,,已匹配,"仅据论文参考文献表,未回原始来源核验"
39,E039,"郑贤. 基于 STEAM 的小学《3D 打印》课程设计与教学实践研究[J]. 中国电化教育, 2016(08):82-86.",郑贤,基于 STEAM 的小学《3D 打印》课程设计与教学实践研究,J,,2016,4,,已匹配,"仅据论文参考文献表,未回原始来源核验"
40,E040,"王巍,袁磊. 幼小衔接阶段基于项目的 STEAM 课程教学模式研究[J]. 现代远距离教 育,2018(03):51-58.","王巍,袁磊",幼小衔接阶段基于项目的 STEAM 课程教学模式研究,J,,2018,3,,已匹配,"仅据论文参考文献表,未回原始来源核验"
41,E041,"张煊宜,侯璐. 基于云 GIS 平台将 STEAM 理念引入中学地理教学设计[J]. 地理教学, 2018(06):56-59.","张煊宜,侯璐",基于云 GIS 平台将 STEAM 理念引入中学地理教学设计,J,,2018,4,,已匹配,"仅据论文参考文献表,未回原始来源核验"
42,E042,"周玉琴,郑欣进,陈实. STEAM 教育理念在高中地理教学中的应用初探——以 “大气的 受热过程”为例[J]. 地理教学,2018(11):13-16+20.","周玉琴,郑欣进,陈实",STEAM 教育理念在高中地理教学中的应用初探——以 “大气的 受热过程”为例,J,,2018,5,,已匹配,"仅据论文参考文献表,未回原始来源核验"
43,E043,"熊小菊,廖春贵,熊开宏,胡宝清. STEAM 教育理念在中学地理教学中的运用[J]. 教学与 管理,2019(15):115-117.","熊小菊,廖春贵,熊开宏,胡宝清",STEAM 教育理念在中学地理教学中的运用,J,,2019,4,,已匹配,"仅据论文参考文献表,未回原始来源核验"
44,E044,"苏乐. STEAM 视角下的小学《科学》教学设计研究[D].曲阜师范大学,2017.",苏乐,STEAM 视角下的小学《科学》教学设计研究,D,,2017,5,,已匹配,"仅据论文参考文献表,未回原始来源核验"
45,E045,"史颜君. 基于 STEAM理念的初中物理课程设计研究[D].广西师范大学,2017.",史颜君,基于 STEAM理念的初中物理课程设计研究,D,,2017,6,,已匹配,"仅据论文参考文献表,未回原始来源核验"
46,E046,"马云霞. STEAM教育理念下师范院校机器人教学实践研究[D].陕西师范大学,2017. 辽宁师范大学硕士学位论文 73",马云霞,STEAM教育理念下师范院校机器人教学实践研究,D,,2017,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
47,E047,"基于 STEAM教育的小学机器人教育课程开发与实践[D].重庆师范大学,2018.",,,,,2018,4,,已匹配,"仅据论文参考文献表,未回原始来源核验"
48,E048,"基于项目式学习的小学机器人课程设计研究[D].陕西师范大学,2018.",,,,,2018,4,,已匹配,"仅据论文参考文献表,未回原始来源核验"
49,E049,"王英杰. STEAM 教育理念下通用技术校本课程设计与实践研究[D].河北师范大学,2019.",王英杰,STEAM 教育理念下通用技术校本课程设计与实践研究,D,,2019,3,,已匹配,"仅据论文参考文献表,未回原始来源核验"
50,E050,"董恬序. STEAM 教育理念下小学信息技术课程教学项目设计的研究[D].河北科技师范学 院,2019.",董恬序,STEAM 教育理念下小学信息技术课程教学项目设计的研究,D,,2019,4,,已匹配,"仅据论文参考文献表,未回原始来源核验"
51,E051,"秦德增,秦瑾若. 数学学科核心素养视角下的 STEAM 跨学科融合模式研究[J]. 教育理 论与实践,2018,38(22):52-56.","秦德增,秦瑾若",数学学科核心素养视角下的 STEAM 跨学科融合模式研究,J,,2018,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
52,E052,"李彤彤. 创客式教学:面向数学学科核心素养培养的 STEAM 课程教学新范式[J]. 中国 电化教育,2018(09):40-47.",李彤彤,创客式教学:面向数学学科核心素养培养的 STEAM 课程教学新范式,J,,2018,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
53,E053,"刘静. 依托数学文化的 STEAM课程研究与设计[D].河北师范大学,2019.",刘静,依托数学文化的 STEAM课程研究与设计,D,,2019,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
54,E054,"面向 STEAM教育的高中 App Inventor 创新实践课程研究[D].四川师范大学,2017.",,,,,2017,4,,已匹配,"仅据论文参考文献表,未回原始来源核验"
55,E055,"杨希. 基于 STEAM 理念的高中 App Inventor 创意编程课教学研究[D].河北师范大 学,2019.",杨希,基于 STEAM 理念的高中 App Inventor 创意编程课教学研究,D,,2019,4,,已匹配,"仅据论文参考文献表,未回原始来源核验"
56,E056,"魏晓东,于冰,于海波. 美国 STEAM教育的框架、特点及启示[J]. 华东师范大学学报(教 育科学版),2017,35(04):40-46+134-135.","魏晓东,于冰,于海波",美国 STEAM教育的框架、特点及启示,J,,2017,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
57,E057,"范文翔,张一春. STEAM教育:发展、内涵与可能路径[J].现代教育技术, 2018, 28(03): 99-105.","范文翔,张一春",STEAM教育:发展、内涵与可能路径,J,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
58,E058,"吕翠灵. 幼儿园中大班 STEAM纸艺课程构建实践研究[D].上海师范大学,2018.",吕翠灵,幼儿园中大班 STEAM纸艺课程构建实践研究,D,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
59,E059,"项目教学视野下学前 STEM教学活动的建构与反思[D].陕西师范大学,2018.",,,,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
60,E060,"李媛. STEAM 教育理论在初中说明文教学中的应用研究[D].集美大学,2018.",李媛,STEAM 教育理论在初中说明文教学中的应用研究,D,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
61,E061,"马晨钰. STEAM 教育理论下初中美术“综合·探索”模块教学的设计研究[D].曲阜师范 大学,2018.",马晨钰,STEAM 教育理论下初中美术“综合·探索”模块教学的设计研究,D,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
62,E062,"王腾宇. 跨学科视域下的 STEAM 教育对音乐教育的启示[J].中国音乐,2019(03): 123-128+142.",王腾宇,跨学科视域下的 STEAM 教育对音乐教育的启示,J,,2019,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
63,E063,"吕翠灵. 幼儿园中大班 STEAM纸艺课程构建实践研究[D].上海师范大学,2018.",吕翠灵,幼儿园中大班 STEAM纸艺课程构建实践研究,D,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
64,E064,"陈学伟. 关于初高中“过渡阶段”数学学习困难的调查研究[D].首都师范大学,2008.",陈学伟,关于初高中“过渡阶段”数学学习困难的调查研究,D,,2008,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
65,E065,"张姿. 新课程标准下数学教师如何做好初、高中教学的过渡[D].首都师范大学,2009.",张姿,新课程标准下数学教师如何做好初、高中教学的过渡,D,,2009,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
66,E066,"周芝环. 新课程背景下初高中数学课程衔接问题的探究[D].延边大学,2010.",周芝环,新课程背景下初高中数学课程衔接问题的探究,D,,2010,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
67,E067,"周礼平. 初高中函数概念衔接教学研究[D].苏州大学,2011.",周礼平,初高中函数概念衔接教学研究,D,,2011,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
68,E068,"张新村. 高中新课程标准下“函数概念”的教与学[D].苏州大学,2010.",张新村,高中新课程标准下“函数概念”的教与学,D,,2010,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
69,E069,"宋健. 高中新课程函数概念理解的调查研究[D].东北师范大学,2012.",宋健,高中新课程函数概念理解的调查研究,D,,2012,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
70,E070,"赵华. 数学思想与方法在高中教学中的渗透研究[D].苏州大学,2011.",赵华,数学思想与方法在高中教学中的渗透研究,D,,2011,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
71,E071,"红梅. 高中函数类化研究[D].内蒙古师范大学,2014.",红梅,高中函数类化研究,D,,2014,4,,已匹配,"仅据论文参考文献表,未回原始来源核验"
72,E072,"陈兴. 利用数学思想突破高中数学教学难点[D].华中师范大学,2011.",陈兴,利用数学思想突破高中数学教学难点,D,,2011,3,,已匹配,"仅据论文参考文献表,未回原始来源核验"
73,E073,"刘佰秋. 函数与方程思想在普通高中教学中的实践研究[D].东北师范大学,2012. 基于 STEAM 教育理念的高中函数教学设计研究 74",刘佰秋,函数与方程思想在普通高中教学中的实践研究,D,,2012,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
74,E074,"郑玲艳. 高中数学教学中的数学文化[D].内蒙古师范大学,2008.",郑玲艳,高中数学教学中的数学文化,D,,2008,4,,已匹配,"仅据论文参考文献表,未回原始来源核验"
75,E075,"徐红星. 高中数学课堂体现数学文化价值的行动研究[D].华东师范大学,2011.",徐红星,高中数学课堂体现数学文化价值的行动研究,D,,2011,3,,已匹配,"仅据论文参考文献表,未回原始来源核验"
76,E076,"潘静红. 高中阶段数学文化教育的研究[D].上海师范大学,2011.",潘静红,高中阶段数学文化教育的研究,D,,2011,4,,已匹配,"仅据论文参考文献表,未回原始来源核验"
77,E077,"岑盛锋. 基于几何画板的高中数学实验的教学研究[D].广西师范大学,2007.",岑盛锋,基于几何画板的高中数学实验的教学研究,D,,2007,4,,已匹配,"仅据论文参考文献表,未回原始来源核验"
78,E078,"陈婕. 内地新疆高中班使用多媒体辅助数学教学的案例研究[D].天津师范大学,2014.",陈婕,内地新疆高中班使用多媒体辅助数学教学的案例研究,D,,2014,3,,已匹配,"仅据论文参考文献表,未回原始来源核验"
79,E079,"孙丽丽. 几何画板在高中数学教学中的应用研究[D].辽宁师范大学,2013.",孙丽丽,几何画板在高中数学教学中的应用研究,D,,2013,5,,已匹配,"仅据论文参考文献表,未回原始来源核验"
80,E080,"韩旭. 几何画板在高中数学实验教学中的应用研究[D].河北师范大学,2016.",韩旭,几何画板在高中数学实验教学中的应用研究,D,,2016,3,,已匹配,"仅据论文参考文献表,未回原始来源核验"
81,E081,"董瑞. 基础教育阶段“数与代数”教材分析研究[D].华中师范大学,2015.",董瑞,基础教育阶段“数与代数”教材分析研究,D,,2015,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
82,E082,"江自龙. 应用尝试教学法进行高中数学教学的研究[D].江西师范大学,2006.",江自龙,应用尝试教学法进行高中数学教学的研究,D,,2006,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
83,E083,"龚雪霜. 数学实验在高中数学探究教学中的应用研究[D].重庆师范大学,2016.",龚雪霜,数学实验在高中数学探究教学中的应用研究,D,,2016,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
84,E084,"卢向敏. 数形结合方法在高中数学教学中的应用[D].内蒙古师范大学,2013.",卢向敏,数形结合方法在高中数学教学中的应用,D,,2013,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
85,E085,"姜秋亚. 数形结合思想方法在高中教学中的应用情况研究[D].华中师范大学,2015.",姜秋亚,数形结合思想方法在高中教学中的应用情况研究,D,,2015,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
86,E086,"左丽娥. 高一数学中“指数与指数函数”衔接教学的调查研究[D].贵州师范大学,2016.",左丽娥,高一数学中“指数与指数函数”衔接教学的调查研究,D,,2016,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
87,E087,"邱忠娟. 基于规则空间模型的高中三角函数认知诊断研究[D].西南大学,2016.",邱忠娟,基于规则空间模型的高中三角函数认知诊断研究,D,,2016,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
88,E088,"田宇卓. 高中数学教科书中微积分的变迁研究[D].内蒙古师范大学,2013.",田宇卓,高中数学教科书中微积分的变迁研究,D,,2013,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
89,E089,"吴沛东. 高中生在导数问题解决中的学习调查与对策研究[D].贵州师范大学,2014.",吴沛东,高中生在导数问题解决中的学习调查与对策研究,D,,2014,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
90,E090,"李剑. 高中与初中数学函数概念教学的衔接研究[D].重庆师范大学,2012.",李剑,高中与初中数学函数概念教学的衔接研究,D,,2012,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
91,E091,"张姿. 新课程标准下数学教师如何做好初、高中教学的过渡[D].首都师范大学,2009.",张姿,新课程标准下数学教师如何做好初、高中教学的过渡,D,,2009,4,,已匹配,"仅据论文参考文献表,未回原始来源核验"
92,E092,"王洪艳. 农村高中数学教师应用几何画板的现状调查及教学案例分析[D].贵州师范大 学,2016.",王洪艳,农村高中数学教师应用几何画板的现状调查及教学案例分析,D,,2016,4,,已匹配,"仅据论文参考文献表,未回原始来源核验"
93,E093,"林静. 基于初高中衔接的函数教学研究[D].福建师范大学,2015.",林静,基于初高中衔接的函数教学研究,D,,2015,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
94,E094,"曹静慧. 初高中函数教学衔接研究[D].内蒙古师范大学,2013.",曹静慧,初高中函数教学衔接研究,D,,2013,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
95,E095,"苏美俊. 高中函数探究式教学研究[D].内蒙古师范大学,2014.",苏美俊,高中函数探究式教学研究,D,,2014,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
96,E096,"童永健. 高中数学教材中数学建模内容的分析及再设计[D].华东师范大学,2016.",童永健,高中数学教材中数学建模内容的分析及再设计,D,,2016,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
97,E097,"陈学伟. 关于初高中“过渡阶段”数学学习困难的调查研究[D].首都师范大学,2008.",陈学伟,关于初高中“过渡阶段”数学学习困难的调查研究,D,,2008,0,,未检出,"仅据论文参考文献表,未回原始来源核验"
98,E098,"孔令伟. 数形结合思想方法在高中数学教学与解题中的应用[D].辽宁师范大学,2012.",孔令伟,数形结合思想方法在高中数学教学与解题中的应用,D,,2012,0,,未检出,"仅据论文参考文献表,未回原始来源核验"
99,E099,"张卓. 高中数学教学策略变革研究[D].东北师范大学,2006.",张卓,高中数学教学策略变革研究,D,,2006,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
100,E100,"刘敏. 高中函数概念教学研究[D].陕西师范大学,2011.",刘敏,高中函数概念教学研究,D,,2011,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
101,E101,"王丹. 数学建模思想在高中函数教学中的应用研究[D].陕西师范大学,2016.",王丹,数学建模思想在高中函数教学中的应用研究,D,,2016,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
102,E102,"朱菊花. 基于自主学习的高中函数教学设计的研究[D].苏州大学,2016.",朱菊花,基于自主学习的高中函数教学设计的研究,D,,2016,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
103,E103,"张婉璐. 基于数学文化应用的高中数学教学研究[D].哈尔滨师范大学,2018.",张婉璐,基于数学文化应用的高中数学教学研究,D,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
104,E104,"赵晔明. 现代教育技术条件下高中数学教学研究[D].内蒙古师范大学,2009.",赵晔明,现代教育技术条件下高中数学教学研究,D,,2009,0,,未检出,"仅据论文参考文献表,未回原始来源核验"
105,E105,"丁建艳. 高中数学课程与信息技术的整合研究[D].曲阜师范大学,2011.",丁建艳,高中数学课程与信息技术的整合研究,D,,2011,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
106,E106,［法］卡米拉·弗 拉马利翁．大众天文学[M]．李珩译．桂林：广西师范大学出版社， 2003． 辽宁师范大学硕士学位论文 75,,,,,2003,0,,未检出,"仅据论文参考文献表,未回原始来源核验"
107,E107,"Keane,L., & Keane, M. (2016). STEAM by design. Design andTechnology Education, 21(1), 61-82.",,,,,2016,0,,未检出,"仅据论文参考文献表,未回原始来源核验"
108,E108,"Robinson, C. (2017). Add more STEAM to your classes. Science Scope, 41(1), 18-22.",,,,,2017,0,,未检出,"仅据论文参考文献表,未回原始来源核验"
109,E109,"Herro, D., Quigley, C., Andrews, J., & Delacruz, G. (2017). Co-measure: Developing an assessment for student collaboration in STEAM activities. International Journal of STEM Education,4(1),1-12.",,,,,2017,0,,未检出,"仅据论文参考文献表,未回原始来源核验"
110,E110,"Ozkan, G., & Topsakal, U. U. (2017). Examining students' opinions about STEAM activities. Journal of Education and Training Studies, 5(9), 115-123.",,,,,2017,0,,未检出,"仅据论文参考文献表,未回原始来源核验"
111,E111,"Herro, D., & Quigley, C. (2016). Innovating with STEAM in middle school classrooms: Remixing education. On the Horizon, 24(3), 190-204.",,,,,2016,0,,未检出,"仅据论文参考文献表,未回原始来源核验"
112,E112,"Han, S. (2017). Korean students‟ attitudes toward STEM project-based learning and major selection. Educational Sciences: Theory & Practice, 17(2), 529-548.",,,,,2017,0,,未检出,"仅据论文参考文献表,未回原始来源核验"
113,E113,"Kelley, T. R., & Knowles, J. G. (2016). A conceptual framework for integrated STEM education. International Journal of STEM Education, 3(1), 11.",,,,,2016,0,,未检出,"仅据论文参考文献表,未回原始来源核验"
114,E114,"Guzey, S. S., Harwell, M., Moreno, M., Peralta, Y., & Moore, T. J. (2017). The Impact of Design-Based STEM Integration Curricula on Student Achievement in Engineering, Science, and Mathematics. Journal of Science Education and Technology, 26(2), 207-222.",,,,,2017,0,,未检出,"仅据论文参考文献表,未回原始来源核验"
115,E115,"Corlu, M. A., & Aydin, E. (2016). Evaluation of Learning Gains through Integrated STEM Projects. International Journal of Education in Mathematics, Science and Technology, 4(1), 20-29.",,,,,2016,0,,未检出,"仅据论文参考文献表,未回原始来源核验"
