reference_label,entity_id,pdf_page,thesis_page,section,citation_context,citation_mode,citation_purpose,mapping_confidence
15,E015,9,2,,9]，并且，对于 STEAM 教育的理论研究较多，主要包 括 STEAM 的内涵、特征以及整合模式、教学案例的开发研究等[10-17]。就具体学 科在 STEAM 教育理念下进行教学设计的文章也有增加[18-25]，但是在数学学科， 尤其是高中数学课堂上,转述/概述,,高
16,E016,9,2,,9]，并且，对于 STEAM 教育的理论研究较多，主要包 括 STEAM 的内涵、特征以及整合模式、教学案例的开发研究等[10-17]。就具体学 科在 STEAM 教育理念下进行教学设计的文章也有增加[18-25]，但是在数学学科， 尤其是高中数学课堂上,转述/概述,,高
17,E017,9,2,,9]，并且，对于 STEAM 教育的理论研究较多，主要包 括 STEAM 的内涵、特征以及整合模式、教学案例的开发研究等[10-17]。就具体学 科在 STEAM 教育理念下进行教学设计的文章也有增加[18-25]，但是在数学学科， 尤其是高中数学课堂上,转述/概述,,高
18,E018,9,2,,、特征以及整合模式、教学案例的开发研究等[10-17]。就具体学 科在 STEAM 教育理念下进行教学设计的文章也有增加[18-25]，但是在数学学科， 尤其是高中数学课堂上融入 STEAM 教育理念的教学研究还是极少的。这是因为 数学是更贴近一门计算性,转述/概述,,高
19,E019,9,2,,、特征以及整合模式、教学案例的开发研究等[10-17]。就具体学 科在 STEAM 教育理念下进行教学设计的文章也有增加[18-25]，但是在数学学科， 尤其是高中数学课堂上融入 STEAM 教育理念的教学研究还是极少的。这是因为 数学是更贴近一门计算性,转述/概述,,高
20,E020,9,2,,、特征以及整合模式、教学案例的开发研究等[10-17]。就具体学 科在 STEAM 教育理念下进行教学设计的文章也有增加[18-25]，但是在数学学科， 尤其是高中数学课堂上融入 STEAM 教育理念的教学研究还是极少的。这是因为 数学是更贴近一门计算性,转述/概述,,高
21,E021,9,2,,、特征以及整合模式、教学案例的开发研究等[10-17]。就具体学 科在 STEAM 教育理念下进行教学设计的文章也有增加[18-25]，但是在数学学科， 尤其是高中数学课堂上融入 STEAM 教育理念的教学研究还是极少的。这是因为 数学是更贴近一门计算性,转述/概述,,高
22,E022,9,2,,、特征以及整合模式、教学案例的开发研究等[10-17]。就具体学 科在 STEAM 教育理念下进行教学设计的文章也有增加[18-25]，但是在数学学科， 尤其是高中数学课堂上融入 STEAM 教育理念的教学研究还是极少的。这是因为 数学是更贴近一门计算性,转述/概述,,高
23,E023,9,2,,、特征以及整合模式、教学案例的开发研究等[10-17]。就具体学 科在 STEAM 教育理念下进行教学设计的文章也有增加[18-25]，但是在数学学科， 尤其是高中数学课堂上融入 STEAM 教育理念的教学研究还是极少的。这是因为 数学是更贴近一门计算性,转述/概述,,高
24,E024,9,2,,、特征以及整合模式、教学案例的开发研究等[10-17]。就具体学 科在 STEAM 教育理念下进行教学设计的文章也有增加[18-25]，但是在数学学科， 尤其是高中数学课堂上融入 STEAM 教育理念的教学研究还是极少的。这是因为 数学是更贴近一门计算性,转述/概述,,高
25,E025,9,2,,、特征以及整合模式、教学案例的开发研究等[10-17]。就具体学 科在 STEAM 教育理念下进行教学设计的文章也有增加[18-25]，但是在数学学科， 尤其是高中数学课堂上融入 STEAM 教育理念的教学研究还是极少的。这是因为 数学是更贴近一门计算性,转述/概述,,高
26,E026,10,3,,（Technology）、工程（Engineering）、 数学（Mathematics）和艺术（Arts）五个词的缩写[26]。 （2）STEAM 教育 STEAM 教育就是培养学生科学、技术、工程、数学和艺术综合素养的教育， 是根据解决现实问题,转述/概述,,高
26,E026,10,3,,程、数学和艺术综合素养的教育， 是根据解决现实问题的需要，将来自这几个不同学科的零碎知识有效地整合成相 互联系的统一整体[26]。 （3）STEAM 教育理念 STEAM 教育理念是一种整合的教育理念，是指在真实的问题情境或项目中 运用多学科知识解,转述/概述,,高
27,E027,10,3,,学生共同协作进行 工程设计，从而学习到工程设计和（或）技术才能，体会科目的意义，学会理论 联系实践，深入地掌握知识的本质[27]。 （4）数学教学设计 数学教学设计包括教案设计、教学实施、教学反思三个部分。其中教案设计 包括课程标准分析、教学内容分,转述/概述,,高
28,E028,10,3,,实施是根据教案设计 的具体内容，在课堂上实施教案的过程。教学反思是在教案设计成果得到教学实 施后对其进行评价和完善的过程[28]。 （5）教学实施效果 教学实施效果是指依据教案设计进行实际教学后，通过分析提供给老师的观 测表的结果以及学生调查问卷的,转述/概述,,高
26,E026,10,3,,echnology）、工程（Engineering）、 数学（Mathematics）、艺术（Arts）英语首字母的缩写[26]。作为一种基于真实情 景的学习理念与方法，它重视科学、技术、工程、数学和艺术人文学科的内在联 系，并对涉及的多学科知识进,转述/概述,,高
29,E029,12,5,,础上扩展了艺 术教育领域，即从某个问题出发，引导学习者综合利用数学、科学、技术、工程 和艺术等领域的知识，实现的教学创新[29]。王娟等[30]指出，STEAM教育是一门 整合多学科知识，并且注重实践过程的教育。让学生理解各领域之间的知识联系 与迁,转述/概述,,高
30,E030,12,5,,教育领域，即从某个问题出发，引导学习者综合利用数学、科学、技术、工程 和艺术等领域的知识，实现的教学创新[29]。王娟等[30]指出，STEAM教育是一门 整合多学科知识，并且注重实践过程的教育。让学生理解各领域之间的知识联系 与迁移。支持创新人才,转述/概述,,高
31,E031,12,5,,务、以解决实际情景中的具体问题 的教学模式。在该模式培养出学生创新性解决问题的能力，并可持续地为社会、 企业输出优秀人才[31]。支持素养说的学者认为：学习者通过 STEAM 教育，在项 目学习中获得了创新精神和 STEAM 素养[32]。支持社会,转述/概述,,高
32,E032,12,5,,出优秀人才[31]。支持素养说的学者认为：学习者通过 STEAM 教育，在项 目学习中获得了创新精神和 STEAM 素养[32]。支持社会服务说的学者认为： STEAM 教育目的是培养出一批能够为社会设计出创新型产品、对实际问题提供 解决方案的人才,转述/概述,,高
33,E033,12,5,,。支持社会服务说的学者认为： STEAM 教育目的是培养出一批能够为社会设计出创新型产品、对实际问题提供 解决方案的人才[33]。 该文通过分析上述文献，发现它们具有 4 个相同点：①STEAM 教育以真实 情境为背景。②STEAM 教育整合了多个,转述/概述,,高
26,E026,10,3,,将学生的困难概念与学生的学习生活紧密联系起来，有效地提高学生解决问题的 积极性。它以项目为基础，整合了来自多个学科的知识[26]。 艺术素养是指欣赏和表达艺术的能力的综合表现。在自然科学教学中，有目 的地提高学生对社会科学和人文科学的欣赏和重视，不,转述/概述,,高
16,E016,13,6,,情况下对数学问题进行挖掘、阐述、分析和处理时， 将数学概念和方法应用于各种客观事物，进行分析、思考和实践思想交流的能力 [16]。 这五个方面是相互交织的，相互联系且不可分割。科学是课题背景的基本组 成部分，课题背景中必然蕴含科学；技术和工程不仅是,转述/概述,,高
34,E034,13,6,,，结合数学课程标准，采用系统化观点、方法整合课程资源、形成教 学活动基本方案并对初步方案进行必要的反思、修改和完善的过程[34]。张奠宙提 出数学教学设计是在数学课程标准的指导下结合现代教育理论、教师经验、学生 需求、课程性质分析，预设教学方法与教,转述/概述,,高
35,E035,13,6,,设计是在数学课程标准的指导下结合现代教育理论、教师经验、学生 需求、课程性质分析，预设教学方法与教学活动的一种可操作过程[35]。 该文的数学教学设计概念包括教案设计、教学实施、教学反思三个部分。其 中教案设计包括课程标准分析、教学内容分析、学习者,转述/概述,,高
28,E028,10,3,,实施是根 据教案设计的具体内容，在课堂上实施教案的过程。教学反思是在教案设计成果 得到教学实施后对其进行评价和完善的过程[28]。 2.1.2 理论基础 STEAM 教育强调以真实的情境问题为导向，学习者综合运用学科知识去解 决问题，并形成系统化的,转述/概述,,高
26,E026,10,3,,将 这五种学科的零碎知识变成相互联系的统一整体，是一种将教学置于真实情境下 问题驱动式的跨学科教育，STEAM 教育理念[26]有以下方面： 第一，围绕真实情境进行跨学科融合。它与常规教育的只传授孤立分离学科 知识不同，而是结合实际问题创设一种情境,转述/概述,,高
38,E038,14,7,,的教学目标以及学科特点确定的， 并且还要考虑学生的思维水平以及心理特征。在目前的中学数学教学中，主要有 以下几个基本原则[38]。 抽象与具体相结合原则，是教学中抽象思维与生动具体对象统一规律的反 应。在数学教学中，教师通过提供给学生具体的现实情境,转述/概述,,高
38,E038,14,7,,对研究问题所涉及的内容进 行集中融合，以便应对实际生产需要和重难点突破，是融合了现实世界的生产实 践和具体问题的学习方法[38]。 2.2文献综述 2.2.1 基于 STEAM 教育理念教学设计 在 CNKI 平台中以“STEAM 教育”并含“教学,转述/概述,,高
37,E037,18,11,,文献。 在研究内容方面，有的学者通过剖析和设计 STEAM 教学活动的要素和框 架，构建了 STEAM 教学活动设计模式[37]，依据该 STEAM 教学活动设计模式实 施了三轮教学活动，以调整和确认该设计模式的可行性；有的学者将 STEAM 教,转述/概述,,高
38,E038,18,11,,三轮教学活动，以调整和确认该设计模式的可行性；有的学者将 STEAM 教 育理念融入某学科，开发了教学设计案例并进行实施[38-45]，以 STEAM 教育理念 为指导，使之与某一学科教学相融合，通过具体的教学案例为实例来分析 STEAM 融入该学科的价,转述/概述,,高
39,E039,18,11,,三轮教学活动，以调整和确认该设计模式的可行性；有的学者将 STEAM 教 育理念融入某学科，开发了教学设计案例并进行实施[38-45]，以 STEAM 教育理念 为指导，使之与某一学科教学相融合，通过具体的教学案例为实例来分析 STEAM 融入该学科的价,转述/概述,,高
40,E040,18,11,,三轮教学活动，以调整和确认该设计模式的可行性；有的学者将 STEAM 教 育理念融入某学科，开发了教学设计案例并进行实施[38-45]，以 STEAM 教育理念 为指导，使之与某一学科教学相融合，通过具体的教学案例为实例来分析 STEAM 融入该学科的价,转述/概述,,高
41,E041,18,11,,三轮教学活动，以调整和确认该设计模式的可行性；有的学者将 STEAM 教 育理念融入某学科，开发了教学设计案例并进行实施[38-45]，以 STEAM 教育理念 为指导，使之与某一学科教学相融合，通过具体的教学案例为实例来分析 STEAM 融入该学科的价,转述/概述,,高
42,E042,18,11,,三轮教学活动，以调整和确认该设计模式的可行性；有的学者将 STEAM 教 育理念融入某学科，开发了教学设计案例并进行实施[38-45]，以 STEAM 教育理念 为指导，使之与某一学科教学相融合，通过具体的教学案例为实例来分析 STEAM 融入该学科的价,转述/概述,,高
43,E043,18,11,,三轮教学活动，以调整和确认该设计模式的可行性；有的学者将 STEAM 教 育理念融入某学科，开发了教学设计案例并进行实施[38-45]，以 STEAM 教育理念 为指导，使之与某一学科教学相融合，通过具体的教学案例为实例来分析 STEAM 融入该学科的价,转述/概述,,高
44,E044,18,11,,三轮教学活动，以调整和确认该设计模式的可行性；有的学者将 STEAM 教 育理念融入某学科，开发了教学设计案例并进行实施[38-45]，以 STEAM 教育理念 为指导，使之与某一学科教学相融合，通过具体的教学案例为实例来分析 STEAM 融入该学科的价,转述/概述,,高
45,E045,18,11,,三轮教学活动，以调整和确认该设计模式的可行性；有的学者将 STEAM 教 育理念融入某学科，开发了教学设计案例并进行实施[38-45]，以 STEAM 教育理念 为指导，使之与某一学科教学相融合，通过具体的教学案例为实例来分析 STEAM 融入该学科的价,转述/概述,,高
46,E046,18,11,,学者从 STEAM 教育的角度提出机器人教学项目的设计 策略，设计并实施了基于 STEAM 教育理念的机器人课程教学实践[46-48]，根据研 究对象的学习需求、机器人实验课程的学习目标与学习内容、依据相应理论，建 构了 STEAM 教育理念下的机器人知,转述/概述,,高
47,E047,18,11,,学者从 STEAM 教育的角度提出机器人教学项目的设计 策略，设计并实施了基于 STEAM 教育理念的机器人课程教学实践[46-48]，根据研 究对象的学习需求、机器人实验课程的学习目标与学习内容、依据相应理论，建 构了 STEAM 教育理念下的机器人知,转述/概述,,高
48,E048,18,11,,学者从 STEAM 教育的角度提出机器人教学项目的设计 策略，设计并实施了基于 STEAM 教育理念的机器人课程教学实践[46-48]，根据研 究对象的学习需求、机器人实验课程的学习目标与学习内容、依据相应理论，建 构了 STEAM 教育理念下的机器人知,转述/概述,,高
49,E049,18,11,,、依据相应理论，建 构了 STEAM 教育理念下的机器人知识学习过程；有的学者开发了基于 STEAM 教育理念的校本课程[49]，采用斯基尔贝克的情景模式为理论基础开发了基于 STEAM 理念的《唐山皮影》校本课程；有的学者开发了基于 STEAM,转述/概述,,高
50,E050,18,11,,了基于 STEAM 理念的《唐山皮影》校本课程；有的学者开发了基于 STEAM 教育理念 的信息技术课程教学项目设计方案[50]，该项目教学设计流程包括：确定主题、创 设情境、项目设计、确定目标、活动实施、成果展示和多元评价；有的学者提出 了在数学,转述/概述,,高
51,E051,18,11,,设计、确定目标、活动实施、成果展示和多元评价；有的学者提出 了在数学学科核心素养视角下的 STEAM 跨学科融合模式设计[51-52]，并与创客式 教学进行了融合；有的学者将数学文化融入到 STEAM课程中，并进行研究与设 计[53]，以提高学生数学学科,转述/概述,,高
52,E052,18,11,,设计、确定目标、活动实施、成果展示和多元评价；有的学者提出 了在数学学科核心素养视角下的 STEAM 跨学科融合模式设计[51-52]，并与创客式 教学进行了融合；有的学者将数学文化融入到 STEAM课程中，并进行研究与设 计[53]，以提高学生数学学科,转述/概述,,高
53,E053,18,11,,科融合模式设计[51-52]，并与创客式 教学进行了融合；有的学者将数学文化融入到 STEAM课程中，并进行研究与设 计[53]，以提高学生数学学科核心素养的目的，设计了校本课程——新新课堂；有 的学者开发了基于 STEAM 教育理念的 App I,转述/概述,,高
54,E054,18,11,,，设计了校本课程——新新课堂；有 的学者开发了基于 STEAM 教育理念的 App Inventor 创意编程课教学设计[54-55]， 阐述了 App Inventor 教学设计思想，搭建了基于 STEAM 的 App Inventor 创意编程课教学,转述/概述,,高
55,E055,18,11,,，设计了校本课程——新新课堂；有 的学者开发了基于 STEAM 教育理念的 App Inventor 创意编程课教学设计[54-55]， 阐述了 App Inventor 教学设计思想，搭建了基于 STEAM 的 App Inventor 创意编程课教学,转述/概述,,高
56,E056,18,11,,基于 STEAM 的 App Inventor 创意编程课教学设计框架。 在研究方法方面，所有的研究中都采用了文本分析法[56-57]，分析 STEAM 教 育的内涵及特征；大部分的研究采用了案例分析法[38-45]，以某节课程为例说明基 于 STEAM,转述/概述,,高
57,E057,18,11,,基于 STEAM 的 App Inventor 创意编程课教学设计框架。 在研究方法方面，所有的研究中都采用了文本分析法[56-57]，分析 STEAM 教 育的内涵及特征；大部分的研究采用了案例分析法[38-45]，以某节课程为例说明基 于 STEAM,转述/概述,,高
38,E038,18,11,,"法方面，所有的研究中都采用了文本分析法[56-57]，分析 STEAM 教 育的内涵及特征；大部分的研究采用了案例分析法[38-45]，以某节课程为例说明基 于 STEAM 教育理念的教学设计；有的研究采用了问卷调查法[37,47,48]、访谈法 中央美",转述/概述,,高
39,E039,18,11,,"法方面，所有的研究中都采用了文本分析法[56-57]，分析 STEAM 教 育的内涵及特征；大部分的研究采用了案例分析法[38-45]，以某节课程为例说明基 于 STEAM 教育理念的教学设计；有的研究采用了问卷调查法[37,47,48]、访谈法 中央美",转述/概述,,高
40,E040,18,11,,"法方面，所有的研究中都采用了文本分析法[56-57]，分析 STEAM 教 育的内涵及特征；大部分的研究采用了案例分析法[38-45]，以某节课程为例说明基 于 STEAM 教育理念的教学设计；有的研究采用了问卷调查法[37,47,48]、访谈法 中央美",转述/概述,,高
41,E041,18,11,,"法方面，所有的研究中都采用了文本分析法[56-57]，分析 STEAM 教 育的内涵及特征；大部分的研究采用了案例分析法[38-45]，以某节课程为例说明基 于 STEAM 教育理念的教学设计；有的研究采用了问卷调查法[37,47,48]、访谈法 中央美",转述/概述,,高
42,E042,18,11,,"法方面，所有的研究中都采用了文本分析法[56-57]，分析 STEAM 教 育的内涵及特征；大部分的研究采用了案例分析法[38-45]，以某节课程为例说明基 于 STEAM 教育理念的教学设计；有的研究采用了问卷调查法[37,47,48]、访谈法 中央美",转述/概述,,高
43,E043,18,11,,"法方面，所有的研究中都采用了文本分析法[56-57]，分析 STEAM 教 育的内涵及特征；大部分的研究采用了案例分析法[38-45]，以某节课程为例说明基 于 STEAM 教育理念的教学设计；有的研究采用了问卷调查法[37,47,48]、访谈法 中央美",转述/概述,,高
44,E044,18,11,,"法方面，所有的研究中都采用了文本分析法[56-57]，分析 STEAM 教 育的内涵及特征；大部分的研究采用了案例分析法[38-45]，以某节课程为例说明基 于 STEAM 教育理念的教学设计；有的研究采用了问卷调查法[37,47,48]、访谈法 中央美",转述/概述,,高
45,E045,18,11,,"法方面，所有的研究中都采用了文本分析法[56-57]，分析 STEAM 教 育的内涵及特征；大部分的研究采用了案例分析法[38-45]，以某节课程为例说明基 于 STEAM 教育理念的教学设计；有的研究采用了问卷调查法[37,47,48]、访谈法 中央美",转述/概述,,高
37,E037,18,11,,"的研究采用了案例分析法[38-45]，以某节课程为例说明基 于 STEAM 教育理念的教学设计；有的研究采用了问卷调查法[37,47,48]、访谈法 中央美术学院 1 1.52% 哈尔滨师范大学 1 1.52% 河北科技师范学院 1 1.52% 内蒙古师范大学",转述/概述,,高
47,E047,18,11,,"的研究采用了案例分析法[38-45]，以某节课程为例说明基 于 STEAM 教育理念的教学设计；有的研究采用了问卷调查法[37,47,48]、访谈法 中央美术学院 1 1.52% 哈尔滨师范大学 1 1.52% 河北科技师范学院 1 1.52% 内蒙古师范大学",转述/概述,,高
48,E048,18,11,,"的研究采用了案例分析法[38-45]，以某节课程为例说明基 于 STEAM 教育理念的教学设计；有的研究采用了问卷调查法[37,47,48]、访谈法 中央美术学院 1 1.52% 哈尔滨师范大学 1 1.52% 河北科技师范学院 1 1.52% 内蒙古师范大学",转述/概述,,高
37,E037,19,12,,"2% 内蒙古师范大学 1 1.52% 合计 36 54.55% 基于 STEAM 教育理念的高中函数教学设计研究 12 [37,49,54,55]，行动研究法[50,53-55]对基于 STEAM 教育理念的教学设计实施效果进行 分析，以及对 STEAM 教学模式进",转述/概述,,高
49,E049,19,12,,"2% 内蒙古师范大学 1 1.52% 合计 36 54.55% 基于 STEAM 教育理念的高中函数教学设计研究 12 [37,49,54,55]，行动研究法[50,53-55]对基于 STEAM 教育理念的教学设计实施效果进行 分析，以及对 STEAM 教学模式进",转述/概述,,高
54,E054,19,12,,"2% 内蒙古师范大学 1 1.52% 合计 36 54.55% 基于 STEAM 教育理念的高中函数教学设计研究 12 [37,49,54,55]，行动研究法[50,53-55]对基于 STEAM 教育理念的教学设计实施效果进行 分析，以及对 STEAM 教学模式进",转述/概述,,高
55,E055,19,12,,"2% 内蒙古师范大学 1 1.52% 合计 36 54.55% 基于 STEAM 教育理念的高中函数教学设计研究 12 [37,49,54,55]，行动研究法[50,53-55]对基于 STEAM 教育理念的教学设计实施效果进行 分析，以及对 STEAM 教学模式进",转述/概述,,高
50,E050,19,12,,"合计 36 54.55% 基于 STEAM 教育理念的高中函数教学设计研究 12 [37,49,54,55]，行动研究法[50,53-55]对基于 STEAM 教育理念的教学设计实施效果进行 分析，以及对 STEAM 教学模式进行调查与分析，以检验该模式的可行",转述/概述,,高
53,E053,19,12,,"合计 36 54.55% 基于 STEAM 教育理念的高中函数教学设计研究 12 [37,49,54,55]，行动研究法[50,53-55]对基于 STEAM 教育理念的教学设计实施效果进行 分析，以及对 STEAM 教学模式进行调查与分析，以检验该模式的可行",转述/概述,,高
54,E054,19,12,,"合计 36 54.55% 基于 STEAM 教育理念的高中函数教学设计研究 12 [37,49,54,55]，行动研究法[50,53-55]对基于 STEAM 教育理念的教学设计实施效果进行 分析，以及对 STEAM 教学模式进行调查与分析，以检验该模式的可行",转述/概述,,高
55,E055,19,12,,"合计 36 54.55% 基于 STEAM 教育理念的高中函数教学设计研究 12 [37,49,54,55]，行动研究法[50,53-55]对基于 STEAM 教育理念的教学设计实施效果进行 分析，以及对 STEAM 教学模式进行调查与分析，以检验该模式的可行",转述/概述,,高
58,E058,19,12,,"TEAM 教学模式进行调查与分析，以检验该模式的可行性和有效 性。 在研究对象方面，按照学段进行划分，学者们分别从学前 [58-59]、小学 [39,44,47,48,50]、初中[45]以及高中[42,44,45]的教学设计四个方面进行研究；按照融入的",转述/概述,,高
59,E059,19,12,,"TEAM 教学模式进行调查与分析，以检验该模式的可行性和有效 性。 在研究对象方面，按照学段进行划分，学者们分别从学前 [58-59]、小学 [39,44,47,48,50]、初中[45]以及高中[42,44,45]的教学设计四个方面进行研究；按照融入的",转述/概述,,高
39,E039,19,12,,"调查与分析，以检验该模式的可行性和有效 性。 在研究对象方面，按照学段进行划分，学者们分别从学前 [58-59]、小学 [39,44,47,48,50]、初中[45]以及高中[42,44,45]的教学设计四个方面进行研究；按照融入的学 科类型划分；学者们从物理[38,45",转述/概述,,高
44,E044,19,12,,"调查与分析，以检验该模式的可行性和有效 性。 在研究对象方面，按照学段进行划分，学者们分别从学前 [58-59]、小学 [39,44,47,48,50]、初中[45]以及高中[42,44,45]的教学设计四个方面进行研究；按照融入的学 科类型划分；学者们从物理[38,45",转述/概述,,高
47,E047,19,12,,"调查与分析，以检验该模式的可行性和有效 性。 在研究对象方面，按照学段进行划分，学者们分别从学前 [58-59]、小学 [39,44,47,48,50]、初中[45]以及高中[42,44,45]的教学设计四个方面进行研究；按照融入的学 科类型划分；学者们从物理[38,45",转述/概述,,高
48,E048,19,12,,"调查与分析，以检验该模式的可行性和有效 性。 在研究对象方面，按照学段进行划分，学者们分别从学前 [58-59]、小学 [39,44,47,48,50]、初中[45]以及高中[42,44,45]的教学设计四个方面进行研究；按照融入的学 科类型划分；学者们从物理[38,45",转述/概述,,高
50,E050,19,12,,"调查与分析，以检验该模式的可行性和有效 性。 在研究对象方面，按照学段进行划分，学者们分别从学前 [58-59]、小学 [39,44,47,48,50]、初中[45]以及高中[42,44,45]的教学设计四个方面进行研究；按照融入的学 科类型划分；学者们从物理[38,45",转述/概述,,高
45,E045,19,12,,"性。 在研究对象方面，按照学段进行划分，学者们分别从学前 [58-59]、小学 [39,44,47,48,50]、初中[45]以及高中[42,44,45]的教学设计四个方面进行研究；按照融入的学 科类型划分；学者们从物理[38,45]、地理[41",转述/概述,,高
42,E042,19,12,,"象方面，按照学段进行划分，学者们分别从学前 [58-59]、小学 [39,44,47,48,50]、初中[45]以及高中[42,44,45]的教学设计四个方面进行研究；按照融入的学 科类型划分；学者们从物理[38,45]、地理[41-43]、语文[60]、美术",转述/概述,,高
44,E044,19,12,,"象方面，按照学段进行划分，学者们分别从学前 [58-59]、小学 [39,44,47,48,50]、初中[45]以及高中[42,44,45]的教学设计四个方面进行研究；按照融入的学 科类型划分；学者们从物理[38,45]、地理[41-43]、语文[60]、美术",转述/概述,,高
45,E045,19,12,,"象方面，按照学段进行划分，学者们分别从学前 [58-59]、小学 [39,44,47,48,50]、初中[45]以及高中[42,44,45]的教学设计四个方面进行研究；按照融入的学 科类型划分；学者们从物理[38,45]、地理[41-43]、语文[60]、美术",转述/概述,,高
38,E038,19,12,,"48,50]、初中[45]以及高中[42,44,45]的教学设计四个方面进行研究；按照融入的学 科类型划分；学者们从物理[38,45]、地理[41-43]、语文[60]、美术[61]以及音乐[62]等七个 方面进行研究；按照融入的课程类型划分，学者们分别",转述/概述,,高
45,E045,19,12,,"48,50]、初中[45]以及高中[42,44,45]的教学设计四个方面进行研究；按照融入的学 科类型划分；学者们从物理[38,45]、地理[41-43]、语文[60]、美术[61]以及音乐[62]等七个 方面进行研究；按照融入的课程类型划分，学者们分别",转述/概述,,高
41,E041,19,12,,"45]以及高中[42,44,45]的教学设计四个方面进行研究；按照融入的学 科类型划分；学者们从物理[38,45]、地理[41-43]、语文[60]、美术[61]以及音乐[62]等七个 方面进行研究；按照融入的课程类型划分，学者们分别从机器人课程[46-",转述/概述,,高
42,E042,19,12,,"45]以及高中[42,44,45]的教学设计四个方面进行研究；按照融入的学 科类型划分；学者们从物理[38,45]、地理[41-43]、语文[60]、美术[61]以及音乐[62]等七个 方面进行研究；按照融入的课程类型划分，学者们分别从机器人课程[46-",转述/概述,,高
