entity_id,reference_labels,canonical_reference,dedup_basis,external_verification
E021,21,"史颜君.基于 STEAM 理念的初中物理课程设计研究[D].广西师范大学,2017.",独立,未核验
E022,22,"匡丽媛.基于 STEAM 教育理念的数学活动的开发[D].上海师范大学,2018.",独立,未核验
E023,23,"王坚.STEAM教育理念下的物理教学初探[D].华中师范大学,2017.",独立,未核验
E024,24,"汪成臣.探究 STEAM 教育在生物教学中的应用[D].贵州师范大学,2018.",独立,未核验
E025,25,"朱彩虹.基于初中物理小制作活动的 STEAM 教育实践[D].内蒙古师范大学,2018.",独立,未核验
E026,26,"余胜泉,胡翔.STEM 教育理念与跨学科整合模式[J].开放教育研究，2015，21(04): 13-22.",独立,未核验
E027,27,高凯涛，高杰，贾嫚.STEM教育理念下技术与课程的融合探究[J].现代教育技术，2018， 28(09):106-112.,独立,未核验
E028,28,"金美月.中学数学教学设计.重庆:西南大学出版社,待版.",独立,未核验
E029,29,"孙江山,吴永和,任友群.3D 打印教育创新:创客空间、创新实验室和 STEAM[J].现代远 程教育研究,2015,(4):96-103.",独立,未核验
E030,30,"王娟,吴永和.“互联网+”时代 STEAM 教育应用的反思与创新路径[J].远程教育杂 志,2016,(2):90-97.",独立,未核验
E031,31,"李小涛,高海燕,邹佳人,等.“互联网+”背景下的 STEAM 教育到创客教育之变迁——从 基于项目的学习到 创新能力的培养[J].远程教育杂志,2016,(1):28-36.",独立,未核验
E032,32,"赵慧臣,周昱希,李彦奇,等.跨学科视野下“工匠型”创新人才的培养策略——基于美国 STEAM 教育活动设计的启示[J].远程教育杂志,2017,(1):94-101.",独立,未核验
E033,33,秦瑾若，傅钢善.STEM 教育:基于真实问题情景的跨学科式教育[J].中国电化教育， 2017(04):67-74.,独立,未核验
E034,34,"乌美娜.教学设计.北京：高等教育出版社,1994:11.",独立,未核验
E035,35,"张奠宙,宋乃庆.数学教育概论.北京:北京高等教育出版社,2004:12.",独立,未核验
E036,36,"何小亚,姚静.中数学数学教学设计.北京:科学出版社,2009:8-10.",独立,未核验
E037,37,"仲娇娇. STEAM教学活动设计与应用研究[D].华东师范大学,2018.",独立,未核验
E038,38,"王坚. STEAM 教育理念下的物理教学初探[D].华中师范大学,2017.",独立,未核验
E039,39,"郑贤. 基于 STEAM 的小学《3D 打印》课程设计与教学实践研究[J]. 中国电化教育, 2016(08):82-86.",独立,未核验
E040,40,"王巍,袁磊. 幼小衔接阶段基于项目的 STEAM 课程教学模式研究[J]. 现代远距离教 育,2018(03):51-58.",独立,未核验
E041,41,"张煊宜,侯璐. 基于云 GIS 平台将 STEAM 理念引入中学地理教学设计[J]. 地理教学, 2018(06):56-59.",独立,未核验
E042,42,"周玉琴,郑欣进,陈实. STEAM 教育理念在高中地理教学中的应用初探——以 “大气的 受热过程”为例[J]. 地理教学,2018(11):13-16+20.",独立,未核验
E043,43,"熊小菊,廖春贵,熊开宏,胡宝清. STEAM 教育理念在中学地理教学中的运用[J]. 教学与 管理,2019(15):115-117.",独立,未核验
E044,44,"苏乐. STEAM 视角下的小学《科学》教学设计研究[D].曲阜师范大学,2017.",独立,未核验
E045,45,"史颜君. 基于 STEAM理念的初中物理课程设计研究[D].广西师范大学,2017.",独立,未核验
E046,46,"马云霞. STEAM教育理念下师范院校机器人教学实践研究[D].陕西师范大学,2017. 辽宁师范大学硕士学位论文 73",独立,未核验
E047,47,"基于 STEAM教育的小学机器人教育课程开发与实践[D].重庆师范大学,2018.",独立,未核验
E048,48,"基于项目式学习的小学机器人课程设计研究[D].陕西师范大学,2018.",独立,未核验
E049,49,"王英杰. STEAM 教育理念下通用技术校本课程设计与实践研究[D].河北师范大学,2019.",独立,未核验
E050,50,"董恬序. STEAM 教育理念下小学信息技术课程教学项目设计的研究[D].河北科技师范学 院,2019.",独立,未核验
E051,51,"秦德增,秦瑾若. 数学学科核心素养视角下的 STEAM 跨学科融合模式研究[J]. 教育理 论与实践,2018,38(22):52-56.",独立,未核验
E052,52,"李彤彤. 创客式教学:面向数学学科核心素养培养的 STEAM 课程教学新范式[J]. 中国 电化教育,2018(09):40-47.",独立,未核验
E053,53,"刘静. 依托数学文化的 STEAM课程研究与设计[D].河北师范大学,2019.",独立,未核验
E054,54,"面向 STEAM教育的高中 App Inventor 创新实践课程研究[D].四川师范大学,2017.",独立,未核验
E055,55,"杨希. 基于 STEAM 理念的高中 App Inventor 创意编程课教学研究[D].河北师范大 学,2019.",独立,未核验
E056,56,"魏晓东,于冰,于海波. 美国 STEAM教育的框架、特点及启示[J]. 华东师范大学学报(教 育科学版),2017,35(04):40-46+134-135.",独立,未核验
E057,57,"范文翔,张一春. STEAM教育:发展、内涵与可能路径[J].现代教育技术, 2018, 28(03): 99-105.",独立,未核验
E058,58,"吕翠灵. 幼儿园中大班 STEAM纸艺课程构建实践研究[D].上海师范大学,2018.",独立,未核验
E059,59,"项目教学视野下学前 STEM教学活动的建构与反思[D].陕西师范大学,2018.",独立,未核验
E060,60,"李媛. STEAM 教育理论在初中说明文教学中的应用研究[D].集美大学,2018.",独立,未核验
E061,61,"马晨钰. STEAM 教育理论下初中美术“综合·探索”模块教学的设计研究[D].曲阜师范 大学,2018.",独立,未核验
E062,62,"王腾宇. 跨学科视域下的 STEAM 教育对音乐教育的启示[J].中国音乐,2019(03): 123-128+142.",独立,未核验
E063,63,"吕翠灵. 幼儿园中大班 STEAM纸艺课程构建实践研究[D].上海师范大学,2018.",独立,未核验
E064,64,"陈学伟. 关于初高中“过渡阶段”数学学习困难的调查研究[D].首都师范大学,2008.",独立,未核验
E065,65,"张姿. 新课程标准下数学教师如何做好初、高中教学的过渡[D].首都师范大学,2009.",独立,未核验
E066,66,"周芝环. 新课程背景下初高中数学课程衔接问题的探究[D].延边大学,2010.",独立,未核验
E067,67,"周礼平. 初高中函数概念衔接教学研究[D].苏州大学,2011.",独立,未核验
E068,68,"张新村. 高中新课程标准下“函数概念”的教与学[D].苏州大学,2010.",独立,未核验
E069,69,"宋健. 高中新课程函数概念理解的调查研究[D].东北师范大学,2012.",独立,未核验
E070,70,"赵华. 数学思想与方法在高中教学中的渗透研究[D].苏州大学,2011.",独立,未核验
E071,71,"红梅. 高中函数类化研究[D].内蒙古师范大学,2014.",独立,未核验
E072,72,"陈兴. 利用数学思想突破高中数学教学难点[D].华中师范大学,2011.",独立,未核验
E073,73,"刘佰秋. 函数与方程思想在普通高中教学中的实践研究[D].东北师范大学,2012. 基于 STEAM 教育理念的高中函数教学设计研究 74",独立,未核验
E074,74,"郑玲艳. 高中数学教学中的数学文化[D].内蒙古师范大学,2008.",独立,未核验
E075,75,"徐红星. 高中数学课堂体现数学文化价值的行动研究[D].华东师范大学,2011.",独立,未核验
E076,76,"潘静红. 高中阶段数学文化教育的研究[D].上海师范大学,2011.",独立,未核验
E077,77,"岑盛锋. 基于几何画板的高中数学实验的教学研究[D].广西师范大学,2007.",独立,未核验
E078,78,"陈婕. 内地新疆高中班使用多媒体辅助数学教学的案例研究[D].天津师范大学,2014.",独立,未核验
E079,79,"孙丽丽. 几何画板在高中数学教学中的应用研究[D].辽宁师范大学,2013.",独立,未核验
E080,80,"韩旭. 几何画板在高中数学实验教学中的应用研究[D].河北师范大学,2016.",独立,未核验
E081,81,"董瑞. 基础教育阶段“数与代数”教材分析研究[D].华中师范大学,2015.",独立,未核验
E082,82,"江自龙. 应用尝试教学法进行高中数学教学的研究[D].江西师范大学,2006.",独立,未核验
E083,83,"龚雪霜. 数学实验在高中数学探究教学中的应用研究[D].重庆师范大学,2016.",独立,未核验
E084,84,"卢向敏. 数形结合方法在高中数学教学中的应用[D].内蒙古师范大学,2013.",独立,未核验
E085,85,"姜秋亚. 数形结合思想方法在高中教学中的应用情况研究[D].华中师范大学,2015.",独立,未核验
E086,86,"左丽娥. 高一数学中“指数与指数函数”衔接教学的调查研究[D].贵州师范大学,2016.",独立,未核验
E087,87,"邱忠娟. 基于规则空间模型的高中三角函数认知诊断研究[D].西南大学,2016.",独立,未核验
E088,88,"田宇卓. 高中数学教科书中微积分的变迁研究[D].内蒙古师范大学,2013.",独立,未核验
E089,89,"吴沛东. 高中生在导数问题解决中的学习调查与对策研究[D].贵州师范大学,2014.",独立,未核验
E090,90,"李剑. 高中与初中数学函数概念教学的衔接研究[D].重庆师范大学,2012.",独立,未核验
E091,91,"张姿. 新课程标准下数学教师如何做好初、高中教学的过渡[D].首都师范大学,2009.",独立,未核验
E092,92,"王洪艳. 农村高中数学教师应用几何画板的现状调查及教学案例分析[D].贵州师范大 学,2016.",独立,未核验
E093,93,"林静. 基于初高中衔接的函数教学研究[D].福建师范大学,2015.",独立,未核验
E094,94,"曹静慧. 初高中函数教学衔接研究[D].内蒙古师范大学,2013.",独立,未核验
E095,95,"苏美俊. 高中函数探究式教学研究[D].内蒙古师范大学,2014.",独立,未核验
E096,96,"童永健. 高中数学教材中数学建模内容的分析及再设计[D].华东师范大学,2016.",独立,未核验
E097,97,"陈学伟. 关于初高中“过渡阶段”数学学习困难的调查研究[D].首都师范大学,2008.",独立,未核验
E098,98,"孔令伟. 数形结合思想方法在高中数学教学与解题中的应用[D].辽宁师范大学,2012.",独立,未核验
E099,99,"张卓. 高中数学教学策略变革研究[D].东北师范大学,2006.",独立,未核验
E100,100,"刘敏. 高中函数概念教学研究[D].陕西师范大学,2011.",独立,未核验
E101,101,"王丹. 数学建模思想在高中函数教学中的应用研究[D].陕西师范大学,2016.",独立,未核验
E102,102,"朱菊花. 基于自主学习的高中函数教学设计的研究[D].苏州大学,2016.",独立,未核验
E103,103,"张婉璐. 基于数学文化应用的高中数学教学研究[D].哈尔滨师范大学,2018.",独立,未核验
E104,104,"赵晔明. 现代教育技术条件下高中数学教学研究[D].内蒙古师范大学,2009.",独立,未核验
E105,105,"丁建艳. 高中数学课程与信息技术的整合研究[D].曲阜师范大学,2011.",独立,未核验
E106,106,［法］卡米拉·弗 拉马利翁．大众天文学[M]．李珩译．桂林：广西师范大学出版社， 2003． 辽宁师范大学硕士学位论文 75,独立,未核验
E107,107,"Keane,L., & Keane, M. (2016). STEAM by design. Design andTechnology Education, 21(1), 61-82.",独立,未核验
E108,108,"Robinson, C. (2017). Add more STEAM to your classes. Science Scope, 41(1), 18-22.",独立,未核验
E109,109,"Herro, D., Quigley, C., Andrews, J., & Delacruz, G. (2017). Co-measure: Developing an assessment for student collaboration in STEAM activities. International Journal of STEM Education,4(1),1-12.",独立,未核验
E110,110,"Ozkan, G., & Topsakal, U. U. (2017). Examining students' opinions about STEAM activities. Journal of Education and Training Studies, 5(9), 115-123.",独立,未核验
E111,111,"Herro, D., & Quigley, C. (2016). Innovating with STEAM in middle school classrooms: Remixing education. On the Horizon, 24(3), 190-204.",独立,未核验
E112,112,"Han, S. (2017). Korean students‟ attitudes toward STEM project-based learning and major selection. Educational Sciences: Theory & Practice, 17(2), 529-548.",独立,未核验
E113,113,"Kelley, T. R., & Knowles, J. G. (2016). A conceptual framework for integrated STEM education. International Journal of STEM Education, 3(1), 11.",独立,未核验
E114,114,"Guzey, S. S., Harwell, M., Moreno, M., Peralta, Y., & Moore, T. J. (2017). The Impact of Design-Based STEM Integration Curricula on Student Achievement in Engineering, Science, and Mathematics. Journal of Science Education and Technology, 26(2), 207-222.",独立,未核验
E115,115,"Corlu, M. A., & Aydin, E. (2016). Evaluation of Learning Gains through Integrated STEM Projects. International Journal of Education in Mathematics, Science and Technology, 4(1), 20-29.",独立,未核验
E116,116,"Baran, E., Canbazoglu, B. S., Mesutoglu, C., & Ocak, C. (2016). Moving STEM beyond schools: Students‟ perceptions about an out-of-school STEM education program. International Journal of Education in Mathematics, Science and Technology, 4(1), 9-19. 基于 STEAM 教育理念的高中函数教学设计研究 76 附录 A“指数函数、对数函数与幂函数”调查问卷 亲爱的同学： 你好！感谢你抽出宝贵的时间填写这份问卷，本问卷旨在了解本次课程对你 产生的影响以及你对在高中数学课堂中实施 STEAM 教育的看法。本问卷采用匿 名形式并保证对你所填的信息保密，所获数据仅限于课题研究，对同学们无影响， 请在符合自己的选项栏中打“√”。谢谢你的支持和配合。 题号 内容描述 完 全 符合 基 本 符合 一 般 符合 基 本 不 符 合 完 全 不 符 合 1 你觉得本节课的学习方式吸引你吗？ 2 你在本节课中投入很大的热情？ 3 你更好地掌握指数、对数、幂函数的知识了 吗？ 4 通过本节课的学习，你会运用多学科的知识 来解决问题吗？ 5 在本节课中，你掌握解决数学问题的各种技 术吗？ 6 在本节课的学习中，你能根据探究的问题设 计出实验吗？ 7 你掌握了利用函数解决实际问题的一般方法 吗？ 8 你在这个活动中和小组成员积极合作吗？ 9 你认为本节课的学习有益于形成积极的创新 态度吗？ 10 以后你会尝试各种方法去克服困难吗？ 11 本节课的教学形式与一般数学教学形式相比，你更喜欢哪一种呢？为什么？",独立,未核验
